Section,Measure,Unit,Year,Value
Frequency of observation: Annual,CO2 emissions from air transport per capita 1,Tonnes of CO2-equivalent per person,2020,32.35
Frequency of observation: Annual,CO2 emissions from air transport per capita 1,Tonnes of CO2-equivalent per person,2021,49.63
Frequency of observation: Annual,CO2 emissions from air transport per capita 1,Tonnes of CO2-equivalent per person,2022,65.61
Frequency of observation: Annual,CO2 emissions from air transport per capita 1,Tonnes of CO2-equivalent per person,2023,78.78
Frequency of observation: Annual,CO2 emissions from air transport per capita 1,Tonnes of CO2-equivalent per person,2024,86.45
Frequency of observation: Annual,CO2 emissions from air transport per unit of GDP 1,"Kilogramme, 2020",2013,2.24
Frequency of observation: Annual,CO2 emissions from air transport per unit of GDP 1,"Kilogramme, 2020",2014,2.23
Frequency of observation: Annual,CO2 emissions from air transport per unit of GDP 1,"Kilogramme, 2020",2015,2.28
Frequency of observation: Annual,CO2 emissions from air transport per unit of GDP 1,"Kilogramme, 2020",2016,2.41
Frequency of observation: Annual,CO2 emissions from air transport per unit of GDP 1,"Kilogramme, 2020",2017,2.7
Frequency of observation: Annual,CO2 emissions from air transport per unit of GDP 1,"Kilogramme, 2020",2018,2.66
Frequency of observation: Annual,CO2 emissions from air transport per unit of GDP 1,"Kilogramme, 2020",2019,2.16
Frequency of observation: Annual,CO2 emissions from air transport per unit of GDP 1,"Kilogramme, 2020",2020,1.11
Frequency of observation: Annual,CO2 emissions from air transport per unit of GDP 1,"Kilogramme, 2020",2021,1.66
Frequency of observation: Annual,CO2 emissions from air transport per unit of GDP 1,"Kilogramme, 2020",2022,2.16
Frequency of observation: Annual,CO2 emissions from air transport per unit of GDP 1,"Kilogramme, 2020",2023,2.5
Frequency of observation: Annual,CO2 emissions from air transport per unit of GDP 1,"Kilogramme, 2020",2024,2.97
Frequency of observation: Annual,"Production-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2009,1.38
Frequency of observation: Annual,"Production-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2010,1.47
Frequency of observation: Annual,"Production-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2011,1.45
Frequency of observation: Annual,"Production-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2012,1.46
Frequency of observation: Annual,"Production-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2013,1.52
Frequency of observation: Annual,"Production-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2014,1.59
Frequency of observation: Annual,"Production-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2015,1.69
Frequency of observation: Annual,"Production-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2016,1.72
Frequency of observation: Annual,"Production-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2017,1.75
Frequency of observation: Annual,"Production-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2018,1.75
Frequency of observation: Annual,"Production-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2019,1.92
Frequency of observation: Annual,"Production-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2020,1.78
Frequency of observation: Annual,"Production-based GHG intensity, energy-related GHG per capita 4",Tonnes of CO2-equivalent per person,2009,16.53
Frequency of observation: Annual,"Production-based GHG intensity, energy-related GHG per capita 4",Tonnes of CO2-equivalent per person,2010,16.41
Frequency of observation: Annual,"Production-based GHG intensity, energy-related GHG per capita 4",Tonnes of CO2-equivalent per person,2011,17.6
Frequency of observation: Annual,"Production-based GHG intensity, energy-related GHG per capita 4",Tonnes of CO2-equivalent per person,2012,18.12
Frequency of observation: Annual,"Production-based GHG intensity, energy-related GHG per capita 4",Tonnes of CO2-equivalent per person,2013,18.12
Frequency of observation: Annual,"Production-based GHG intensity, energy-related GHG per capita 4",Tonnes of CO2-equivalent per person,2014,17.84
Frequency of observation: Annual,"Production-based GHG intensity, energy-related GHG per capita 4",Tonnes of CO2-equivalent per person,2015,16.68
Frequency of observation: Annual,"Production-based GHG intensity, energy-related GHG per capita 4",Tonnes of CO2-equivalent per person,2016,16.37
Frequency of observation: Annual,"Production-based GHG intensity, energy-related GHG per capita 4",Tonnes of CO2-equivalent per person,2017,16.48
Frequency of observation: Annual,"Production-based GHG intensity, energy-related GHG per capita 4",Tonnes of CO2-equivalent per person,2018,16.88
Frequency of observation: Annual,"Production-based GHG intensity, energy-related GHG per capita 4",Tonnes of CO2-equivalent per person,2019,15.81
Frequency of observation: Annual,"Production-based GHG intensity, energy-related GHG per capita 4",Tonnes of CO2-equivalent per person,2020,16.43
Frequency of observation: Annual,Production-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2009,273.0
Frequency of observation: Annual,Production-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2010,274.42
Frequency of observation: Annual,Production-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2011,298.38
Frequency of observation: Annual,Production-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2012,311.37
Frequency of observation: Annual,Production-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2013,315.89
Frequency of observation: Annual,Production-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2014,315.46
Frequency of observation: Annual,Production-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2015,299.37
Frequency of observation: Annual,Production-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2016,298.25
Frequency of observation: Annual,Production-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2017,305.08
Frequency of observation: Annual,Production-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2018,317.37
Frequency of observation: Annual,Production-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2019,301.44
Frequency of observation: Annual,Production-based GHG emissions 4,"Tonnes of CO2-equivalent, Millions",2020,317.94
Frequency of observation: Annual,Production-based GHG emissions 4,"Index, 2000",2009,110.56
Frequency of observation: Annual,Production-based GHG emissions 4,"Index, 2000",2010,111.14
Frequency of observation: Annual,Production-based GHG emissions 4,"Index, 2000",2011,120.84
Frequency of observation: Annual,Production-based GHG emissions 4,"Index, 2000",2012,126.11
Frequency of observation: Annual,Production-based GHG emissions 4,"Index, 2000",2013,127.94
Frequency of observation: Annual,Production-based GHG emissions 4,"Index, 2000",2014,127.76
Frequency of observation: Annual,Production-based GHG emissions 4,"Index, 2000",2015,121.24
Frequency of observation: Annual,Production-based GHG emissions 4,"Index, 2000",2016,120.79
Frequency of observation: Annual,Production-based GHG emissions 4,"Index, 2000",2017,123.56
Frequency of observation: Annual,Production-based GHG emissions 4,"Index, 2000",2018,128.53
Frequency of observation: Annual,Production-based GHG emissions 4,"Index, 2000",2019,122.08
Frequency of observation: Annual,Production-based GHG emissions 4,"Index, 2000",2020,128.77
Frequency of observation: Annual,"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2009,1.71
Frequency of observation: Annual,"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2010,1.94
Frequency of observation: Annual,"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2011,2.04
Frequency of observation: Annual,"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2012,1.84
Frequency of observation: Annual,"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2013,1.82
Frequency of observation: Annual,"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2014,2.0
Frequency of observation: Annual,"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2015,1.88
Frequency of observation: Annual,"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2016,1.98
Frequency of observation: Annual,"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2017,2.04
Frequency of observation: Annual,"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions 4","US dollars per kilogramme of CO2-equivalent, 2020",2018,2.16
